"Index","Value"
2017-08-04 01:30:00,99.13807095
2017-08-04 02:00:00,99.023414975
2017-08-04 02:30:00,98.049999
2017-08-04 03:00:00,98.049999
2017-08-04 03:30:00,98.049999
2017-08-04 04:00:00,98.049999
2017-08-04 04:30:00,99.0972865666667
2017-08-04 05:00:00,99.190696975
2017-08-04 05:30:00,99.3301281
2017-08-04 06:00:00,99.47057245
2017-08-04 06:30:00,99.6093161
2017-08-04 07:00:00,99.7488926
2017-08-04 07:30:00,99.883079
2017-08-04 08:00:00,99.999217775
2017-08-04 08:30:00,100.128196675
2017-08-04 09:00:00,100.244262525
2017-08-04 09:30:00,100.314032175
2017-08-04 10:00:00,100.358556325
2017-08-04 10:30:00,100.369045375
2017-08-04 11:00:00,100.351479658333
2017-08-04 11:30:00,100.2901253
2017-08-04 12:00:00,100.205526725
2017-08-04 12:30:00,100.110907975
2017-08-04 13:00:00,100.00229335
2017-08-04 13:30:00,99.89411185
2017-08-04 14:00:00,99.80817295
2017-08-04 14:30:00,99.764155475
2017-08-04 15:00:00,99.7527443202614
2017-08-04 15:30:00,99.7448484052287
2017-08-04 16:00:00,99.76672345
2017-08-04 16:30:00,99.824883225
2017-08-04 17:00:00,99.91002535
2017-08-04 17:30:00,100.01762825
2017-08-04 18:00:00,100.106820925
2017-08-04 18:30:00,100.24860265
2017-08-04 19:00:00,100.379064625
2017-08-04 19:30:00,100.50308815
2017-08-04 20:00:00,100.59437845
2017-08-04 20:30:00,100.65995325
2017-08-04 21:00:00,100.6933374
2017-08-04 21:30:00,100.682558525
2017-08-04 22:00:00,100.63101825
2017-08-04 22:30:00,100.53864255
2017-08-04 23:00:00,100.4004773
2017-08-04 23:30:00,100.2255632
2017-08-05 00:00:00,100.010610575
2017-08-05 00:30:00,99.778840675
2017-08-05 01:00:00,99.540776075
2017-08-05 01:30:00,99.34452325
2017-08-05 02:00:00,99.170189125
2017-08-05 02:30:00,99.01625335
2017-08-05 03:00:00,98.8950877
2017-08-05 03:30:00,98.847236875
2017-08-05 04:00:00,98.841666
2017-08-05 04:30:00,98.868792675
2017-08-05 05:00:00,98.9278206
2017-08-05 05:30:00,99.05936695
2017-08-05 06:00:00,99.200173025
2017-08-05 06:30:00,99.3702393
2017-08-05 07:00:00,99.545260425
2017-08-05 07:30:00,99.7289288802469
2017-08-05 08:00:00,99.9110661527778
2017-08-05 08:30:00,100.091376425
2017-08-05 09:00:00,100.240320525
2017-08-05 09:30:00,100.364777875
2017-08-05 10:00:00,100.45480255
2017-08-05 10:30:00,100.501785725
2017-08-05 11:00:00,100.509092075
2017-08-05 11:30:00,100.4906468
2017-08-05 12:00:00,100.44731525
2017-08-05 12:30:00,100.358957877778
2017-08-05 13:00:00,100.2416233
2017-08-05 13:30:00,100.11155945
2017-08-05 14:00:00,99.97679295
2017-08-05 14:30:00,99.8668032
2017-08-05 15:00:00,99.799419575
2017-08-05 15:30:00,99.768532425
2017-08-05 16:00:00,99.765095975
2017-08-05 16:30:00,99.78893155
2017-08-05 17:00:00,99.83555295
2017-08-05 17:30:00,99.90474395
2017-08-05 18:00:00,100.006525125
2017-08-05 18:30:00,100.131090225
2017-08-05 19:00:00,100.270666125
2017-08-05 19:30:00,100.410495425
2017-08-05 20:00:00,100.557992
2017-08-05 20:30:00,100.6865721
2017-08-05 21:00:00,100.78701505
2017-08-05 21:30:00,100.84347455
2017-08-05 22:00:00,100.857074175
2017-08-05 22:30:00,100.826113
2017-08-05 23:00:00,100.727190175
2017-08-05 23:30:00,100.584323175
2017-08-06 00:00:00,100.409192825
2017-08-06 00:30:00,100.1965912
2017-08-06 01:00:00,99.938236975
2017-08-06 01:30:00,99.67691675
2017-08-06 02:00:00,99.4266624
2017-08-06 02:30:00,99.2290816919192
2017-08-06 03:00:00,99.073942575
2017-08-06 03:30:00,98.903731675
